Year (year),State Name (state_name),District Name (district_name),Block Name (block_name),Gram Panchayat Name (gp_name),Number of applied job cards (applied_jobcards),Number of issued job cards (issued_jobcards),Number of registered workers from Scheduled Castes (registered_workers_scs),Number of registered workers from Scheduled Tribes (registered_workers_sts),Number of registered workers from other categories (registered_workers_others),Total number of registered workers (total_registered_workers),Number of registered female workers (registered_workers_women),Number of active job cards (active_jobcards),Number of active workers from Scheduled Castes (active_workers_scs),Number of active workers from Scheduled Tribes (active_workers_sts),Number of active workers from other categories (active_workers_others),Total number of active workers (total_active_workers),Number of active female workers (active_workers_women)
"2023-2024","Bihar","Madhepura","Singheshwar","Sukhasan","3648.0","3648.0","610.0","14.0","4019.0","4643.0","1890.0","1341.0","165.0","4.0","1322.0","1491.0","855.0"
"2014-2015","Uttarakhand","Pithoragarh","Didihat","Garali","117.0","115.0","101.0","0.0","183.0","284.0","136.0","79.0","72.0","0.0","117.0","189.0","87.0"
"2015-2016","Gujarat","Dohad","Dahod","Rabdal","114.0","66.0","9.0","738.0","16.0","763.0","354.0","25.0","0.0","82.0","3.0","85.0","40.0"
"2022-2023","Punjab","Patiala","Shambu Kalan","Badoli Gujran","103.0","103.0","84.0","0.0","51.0","135.0","54.0","63.0","64.0","0.0","21.0","85.0","43.0"
"2016-2017","Madhya Pradesh","Narsinghpur","Chawarpatha","Manakwara","186.0","186.0","86.0","79.0","539.0","704.0","109.0","72.0","47.0","36.0","220.0","303.0","68.0"
"2020-2021","Bihar","Begusarai","Nawkothi","Rajakpur","2511.0","2336.0","1071.0","15.0","3148.0","4234.0","1957.0","941.0","135.0","2.0","845.0","982.0","672.0"
"2021-2022","Rajasthan","Pratapgarh","Pratapgarh","Amlikhera","730.0","725.0","0.0","37.0","0.0","37.0","19.0","628.0","0.0","21.0","0.0","21.0","14.0"
"2021-2022","Tamil Nadu","Tiruppur","Avinashi","Kuppandampalayam","426.0","426.0","301.0","0.0","239.0","540.0","418.0","324.0","153.0","0.0","169.0","322.0","297.0"
"2023-2024","Uttar Pradesh","Auraiya","Achchalda","Nallhupur","521.0","520.0","337.0","16.0","317.0","670.0","186.0","366.0","174.0","9.0","235.0","418.0","102.0"
"2017-2018","Uttar Pradesh","Gorakhpur","Bhathat","Ghoradeur","200.0","199.0","69.0","0.0","201.0","270.0","59.0","112.0","54.0","0.0","156.0","210.0","49.0"
"2018-2019","Madhya Pradesh","Khandwa","Punasa","Narlay","638.0","626.0","45.0","365.0","603.0","1013.0","446.0","408.0","34.0","243.0","477.0","754.0","328.0"
