Year (year),State Name (state_name),District Name (district_name),Block Name (block_name),Gram Panchayat Name (gp_name),Number of applied job cards (applied_jobcards),Number of issued job cards (issued_jobcards),Number of registered workers from Scheduled Castes (registered_workers_scs),Number of registered workers from Scheduled Tribes (registered_workers_sts),Number of registered workers from other categories (registered_workers_others),Total number of registered workers (total_registered_workers),Number of registered female workers (registered_workers_women),Number of active job cards (active_jobcards),Number of active workers from Scheduled Castes (active_workers_scs),Number of active workers from Scheduled Tribes (active_workers_sts),Number of active workers from other categories (active_workers_others),Total number of active workers (total_active_workers),Number of active female workers (active_workers_women)
"2023-2024","Chhattisgarh","Bastar","Darbha","Chhindawada 2","138.0","133.0","0.0","184.0","111.0","295.0","146.0","88.0","0.0","98.0","59.0","157.0","82.0"
"2018-2019","Uttar Pradesh","Moradabad","Bilari","Malehpur Sindari","217.0","213.0","143.0","0.0","186.0","329.0","78.0","161.0","94.0","0.0","107.0","201.0","51.0"
"2021-2022","Nagaland","Dimapur","Aqhunaqa","R.Hovishe","214.0","214.0","0.0","402.0","0.0","402.0","143.0","214.0","0.0","219.0","0.0","219.0","38.0"
"2020-2021","Maharashtra","Nandurbar","Nandurbar","Indri-Hatti","155.0","155.0","4.0","531.0","56.0","591.0","259.0","16.0","1.0","30.0","11.0","42.0","17.0"
"2017-2018","Uttar Pradesh","Balrampur","Balrampur","Vishuna Pur","433.0","387.0","305.0","1.0","484.0","790.0","288.0","234.0","99.0","0.0","178.0","277.0","94.0"
"2022-2023","Madhya Pradesh","Damoh","Jabera","Katangi","265.0","265.0","64.0","21.0","414.0","499.0","221.0","241.0","54.0","19.0","370.0","443.0","198.0"
"2023-2024","Uttar Pradesh","Unnao","Safipur","Jamuniha Kachha","248.0","248.0","100.0","0.0","177.0","277.0","69.0","171.0","59.0","0.0","127.0","186.0","46.0"
"2017-2018","Uttar Pradesh","Firozabad","Shikohabad","Dikhtauli","192.0","181.0","220.0","0.0","335.0","555.0","166.0","86.0","91.0","0.0","101.0","192.0","53.0"
"2019-2020","Punjab","Ludhiana","Ludhiana-2","Bora","210.0","208.0","165.0","0.0","16.0","181.0","121.0","109.0","109.0","0.0","12.0","121.0","91.0"
"2017-2018","Telangana","Rangareddy","Ibrahimpatam","Seetharampet","2.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2020-2021","Gujarat","Amreli","Jafrabad                                          ","Kadiyali","594.0","585.0","159.0","43.0","1628.0","1830.0","830.0","506.0","107.0","33.0","1235.0","1375.0","617.0"
"2022-2023","Arunachal Pradesh","Lower Siang","Ramle-Banggo","Telam","96.0","93.0","0.0","275.0","0.0","275.0","145.0","93.0","0.0","100.0","0.0","100.0","47.0"
"2023-2024","Madhya Pradesh","Chhindwara","Pandhurna","Lendhori","347.0","345.0","67.0","273.0","753.0","1093.0","468.0","307.0","38.0","133.0","379.0","550.0","266.0"
"2016-2017","Andhra Pradesh","Kurnool","Nandyal","Polur","1027.0","1027.0","551.0","4.0","748.0","1303.0","703.0","304.0","426.0","2.0","275.0","703.0","393.0"
"2022-2023","Gujarat","Devbhumi Dwarka","Bhanvad                                           ","Ranpar","341.0","341.0","141.0","12.0","609.0","762.0","331.0","101.0","19.0","3.0","76.0","98.0","48.0"
"2018-2019","Karnataka","Chitradurga","Hosdurga","Srirampura","1109.0","1109.0","466.0","22.0","2656.0","3144.0","1578.0","567.0","205.0","9.0","944.0","1158.0","620.0"
"2014-2015","Punjab","Tarn Taran","Gandiwind-9","Buchar Havelian","61.0","61.0","14.0","0.0","61.0","75.0","21.0","20.0","4.0","0.0","14.0","18.0","6.0"
"2021-2022","Uttar Pradesh","Shahjahanpur","Khutar","Karhaiya","256.0","256.0","344.0","0.0","441.0","785.0","176.0","163.0","193.0","0.0","154.0","347.0","69.0"
"2018-2019","Gujarat","Banas Kantha","Dhanera","Sera","185.0","177.0","0.0","0.0","0.0","0.0","0.0","149.0","0.0","0.0","0.0","0.0","0.0"
"2021-2022","Rajasthan","Bundi","Keshoraipatan","हिगेान्या","1195.0","1141.0","802.0","1237.0","1138.0","3177.0","1447.0","896.0","496.0","622.0","582.0","1700.0","772.0"
"2022-2023","Maharashtra","Ahmednagar","Akola","Tirdhe","564.0","506.0","9.0","473.0","910.0","1392.0","662.0","92.0","2.0","47.0","84.0","133.0","48.0"
"2021-2022","Jammu And Kashmir","Baramulla","Bijhama","Salamabad B Dachina)","321.0","321.0","0.0","5.0","499.0","504.0","96.0","164.0","0.0","4.0","221.0","225.0","27.0"
